Symbol;Opis pola;Jednostka
B010L05100;Terminowy stan wody. Źródło danych - limnigraf.;cm
B010N05100;Terminowy stan wody. Źródło danych - nieokreślone.;cm
B010R05100;Terminowy stan wody. Źródło danych - ekipa serwisowa.;cm
B010T05100;Terminowy stan wody. Źródło danych - ekipa wykonująca pomiar hydrometryczny.;cm
B010W05100;Terminowy stan wody. Źródło danych - wyznaczenie lub obliczenie.;cm
B010B050CD;Dobowy stan wody;cm
B020B050CD;Dobowe natężenie przepływu;m3/s
B050B050CD;Dobowa temperatura wody;C
B014B050CD;Dobowe zmącenie;g/m3
B010B053AM;Minimalny miesięczny stan wody;cm
B010B053CM;Średni miesięczny stan wody;cm
B010B053BM;Maksymalny miesięczny stan wody;cm
B020B053AM;Minimalne miesięczne natężenie przepływu;m3/s
B020B053CM;Średnie miesięczne natężenie przepływu;m3/s
B020B053BM;Maksymalne miesięczne natężenie przepływu;m3/s
B050B053AM;Minimalna miesięczna temperatura wody;C
B050B053CM;Średnia miesięczna temperatura wody;C
B050B053BM;Maksymalna miesięczna temperatura wody;C
B014B053AM;Minimalne miesięczne zmącenie;g/m3
B014B053CM;Średnie miesięczne zmącenie;g/m3
B014B053BM;Maksymalne miesięczne zmącenie;g/m3
B016B053AM;Minimalny miesięczny transport rumowiska;t
B016B053CM;Średni miesięczny transport rumowiska;t
B016B053BM;Maksymalny miesięczny transport rumowiska;t
B035B05200;Kod zjawiska lodowego;0
B043B05200;Kod procentowego udziału zjawisk lodowych;0
B039B05200;Grubość lodu;cm
B042B05200;Kod zarastania;0
B000B05400;Błąd pomiaru;0
B001B05400;Kod koryta rzeki;0
B003B05400;Kod rodzaju sieci pomiarowej;0
B005B05400;Rok hydrologiczny;0
B010B05400;Stan wody podczas pomiaru hydrometrycznego;cm
B012B05400;Odległość od wodowskazu;m
B013B05400;Kod odległości od wodowskazu;0
B015B05400;Unoszenie;kg/s
B014B054BD;Zmącenie maksymalne;g/m3
B014B054CD;Zmącenie średnie;g/m3
B019B05400;Próba kontrolna;0
B020B05400;Natężenie przepływu;m3/s
B026B05400;Powierzchnia przekroju;m2
B027B05400;Szerokość zwierciadła wody;m
B028B05400;Głębokość średnia;m
B029B05400;Głębokość maksymalna;m
B030B05400;Prędkość średnia;m/s
B031B05400;Prędkość maksymalna;m/s
B032B05400;Spadek zwierciadła wody;promil
B034B05400;Szerokość przekroju pomiarowego;m
B035B05400;Kod zjawiska lodowego na rzece;0
B038B05400;Kod zjawiska lodowego w profilu pomiarowym;0
B039B05400;Średnia grubość lodu przy pomiarze przepływu;cm
B040B05400;Szerokość pokrywy lodowej;m
B042B05400;Kod zarastania przy pomiarach przepływu;0
B044B05400;Powierzchnia przekroju lodu;m2
B045B05400;Powierzchnia całkowita wraz z przekrojem nieczynnym;m2
B822B05400;Głębokość średnia całkowitego przekroju;
B990B05400;Uwaga do pomiarów hydrometrycznych nr 1;
B990B15400;Uwaga do pomiarów hydrometrycznych nr 2;
B990B25400;Uwaga do pomiarów hydrometrycznych nr 3;
B990B35400;Uwaga do pomiarów hydrometrycznych nr 4;
B990B45400;Uwaga do pomiarów hydrometrycznych nr 5;
M000B06000;Telemetria-dane hydrologiczne. Błąd pomiaru.;0
M001B06000;Telemetria-dane hydrologiczne. Kod koryta rzeki.;0
M010B06000;Telemetria-dane hydrologiczne. Terminowy stan wody. Źródło danych - obserwator albo ekipa serwisowa.;cm
M010B16000;Telemetria-dane hydrologiczne. Terminowy stan wody. Źródło danych - ekipa serwisowa.;cm
M010C06000;Telemetria-dane hydrologiczne. Terminowy stan wody. Źródło danych - czujnik.;cm
M010C16000;Telemetria-dane hydrologiczne. Terminowy stan wody. Źródło danych - czujnik nr 2.;cm
M010C26000;Telemetria-dane hydrologiczne. Terminowy stan wody. Źródło danych - czujnik nr 3.;cm
M010L06000;Telemetria-dane hydrologiczne. Terminowy stan wody. Źródło danych - limnigraf.;cm
M010W06000;Telemetria-dane hydrologiczne. Terminowy stan wody. Źródło danych - wyznaczenie lub obliczenie.;cm
M011B06000;Telemetria-dane hydrologiczne. Rzędna stanu wody.;m n.p.m.
M012B06000;Telemetria-dane hydrologiczne. Odległość od wodowskazu.;m
M013B06000;Telemetria-dane hydrologiczne. Kod odległości od wodowskazu.;0
M018B06000;Telemetria-dane hydrologiczne. Stan wody podczas pomiaru hydrometrycznego.;cm
M020B06000;Telemetria-dane hydrologiczne. Chwilowe natężenie przepływu.;m3/s
M020B060CG;Telemetria-dane hydrologiczne. Godzinowe natężenie przepływu.;m3/s
M021B06000;Telemetria-dane hydrologiczne. Przepływ zredukowany.;m3/s
M022B06000;Telemetria-dane hydrologiczne. Współczynnik redukcji przepływu.;
M023B06000;Telemetria-dane hydrologiczne. Współczynnik redukcji przepływu letni.;
M024B06000;Telemetria-dane hydrologiczne. Współczynnik redukcji przepływu zimowy.;
M025B06000;Telemetria-dane hydrologiczne. Przepływ skorygowany.;m3/s
M027B06000;Telemetria-dane hydrologiczne. Szerokość zwierciadła wody.;m
M028B06000;Telemetria-dane hydrologiczne. Głębokość średnia.;m
M029B06000;Telemetria-dane hydrologiczne. Głębokość maksymalna.;m
M030B06000;Telemetria-dane hydrologiczne. Prędkość średnia.;m/s
M031B06000;Telemetria-dane hydrologiczne. Prędkość maksymalna.;m/s
M032B06000;Telemetria-dane hydrologiczne. Spadek zwierciadła wody.;promil
M033B06000;Telemetria-dane hydrologiczne. Krzywa natężenia przepływu.;m3/s
M035B06000;Telemetria-dane hydrologiczne. Kod zjawiska lodowego.;0
M036B06000;Telemetria-dane hydrologiczne. Kod procentowego udziału zjawisk lodowych.;%
M037B06000;Telemetria-dane hydrologiczne. Kod zjawiska lodowego na rzece.;0
M038B06000;Telemetria-dane hydrologiczne. Kod zjawiska lodowego w profilu pomiarowym.;0
M042B06000;Telemetria-dane hydrologiczne. Kod zarastania przy pomiarach przepływu.;0
M047B06000;Telemetria-dane hydrologiczne. Średnia grubość lodu przy pomiarze przepływu.;cm
M050A06000;Telemetria-dane hydrologiczne. Terminowa temperatura wody. Źródło danych - dowolny automat.;C
M050B06000;Telemetria-dane hydrologiczne. Terminowa temperatura wody. Źródło danych - obserwator albo ekipa serwisowa.;C
M050B060CD;Telemetria-dane hydrologiczne. Średnia dobowa temperatura wody. Źródło danych - obserwator albo ekipa serwisowa.;C
M050C06000;Telemetria-dane hydrologiczne. Terminowa temperatura wody. Źródło danych - czujnik.;C
M050C060CD;Telemetria-dane hydrologiczne. Średnia dobowa temperatura wody. Źródło danych - czujnik.;C
M060B06000;Telemetria-dane hydrologiczne. Odpływ chwilowy. Źródło danych - obserwator albo ekipa serwisowa.;m3/s
M060B060CD;Telemetria-dane hydrologiczne. Odpływ średni dobowy. Źródło danych - obserwator albo ekipa serwisowa.;m3/s
M061B06000;Telemetria-dane hydrologiczne. Dopływ chwilowy. Źródło danych - obserwator albo ekipa serwisowa.;m3/s
M061B060CD;Telemetria-dane hydrologiczne. Dopływ średni dobowy. Źródło danych - obserwator albo ekipa serwisowa.;m3/s
M062B06000;Telemetria-dane hydrologiczne. Chwilowa rzędna górna zwierciadła wody.;m n.p.m
M063B06000;Telemetria-dane hydrologiczne. Chwilowa rzędna dolna zwierciadła wody.;m n.p.m.
M064B06000;Telemetria-dane hydrologiczne. Chwilowa objętość napełnienia zbiornika.;Milion metrów sześciennych
M065B06000;Telemetria-dane hydrologiczne. Pojemność martwa zbiornika.;Milion metrów sześciennych
M066B06000;Telemetria-dane hydrologiczne. Chwilowa pojemność całkowita zbiornika.;Milion metrów sześciennych
M708C06000;Telemetria-dane hydrologiczne. Chwilowy stan wody w jeziorze. Źródło danych - czujnik.;cm
M821B06000;Telemetria-dane hydrologiczne. Chwilowe natężenie przepływu przy pomiarze hydrometrycznym.;m3/s
M990B06000;Telemetria-dane hydrologiczne. Uwaga do pomiarów hydrometrycznych nr 1.;
M990B16000;Telemetria-dane hydrologiczne. Uwaga do pomiarów hydrometrycznych nr 2.;
M990B26000;Telemetria-dane hydrologiczne. Uwaga do pomiarów hydrometrycznych nr 3.;
M990B36000;Telemetria-dane hydrologiczne. Uwaga do pomiarów hydrometrycznych nr 4.;
M990B46000;Telemetria-dane hydrologiczne. Uwaga do pomiarów hydrometrycznych nr 5.;
B000B06000;Telemetria-dane hydrologiczne. Błąd pomiaru.;0
B001B06000;Telemetria-dane hydrologiczne. Kod koryta rzeki.;0
B010B06000;Telemetria-dane hydrologiczne. Terminowy stan wody. Źródło danych - obserwator albo ekipa serwisowa.;cm
B010B16000;Telemetria-dane hydrologiczne. Terminowy stan wody. Źródło danych - ekipa serwisowa.;cm
B010C06000;Telemetria-dane hydrologiczne. Terminowy stan wody. Źródło danych - czujnik.;cm
B010C16000;Telemetria-dane hydrologiczne. Terminowy stan wody. Źródło danych - czujnik nr 2.;cm
B010C26000;Telemetria-dane hydrologiczne. Terminowy stan wody. Źródło danych - czujnik nr 3.;cm
B010L06000;Telemetria-dane hydrologiczne. Terminowy stan wody. Źródło danych - limnigraf.;cm
B010W06000;Telemetria-dane hydrologiczne. Terminowy stan wody. Źródło danych - wyznaczenie lub obliczenie.;cm
B011B06000;Telemetria-dane hydrologiczne. Rzędna stanu wody.;m n.p.m.
B012B06000;Telemetria-dane hydrologiczne. Odległość od wodowskazu.;m
B013B06000;Telemetria-dane hydrologiczne. Kod odległości od wodowskazu.;0
B018B06000;Telemetria-dane hydrologiczne. Stan wody podczas pomiaru hydrometrycznego.;cm
B020B06000;Telemetria-dane hydrologiczne. Chwilowe natężenie przepływu.;m3/s
B020B060CG;Telemetria-dane hydrologiczne. Godzinowe natężenie przepływu.;m3/s
B021B06000;Telemetria-dane hydrologiczne. Przepływ zredukowany.;m3/s
B022B06000;Telemetria-dane hydrologiczne. Współczynnik redukcji przepływu.;
B023B06000;Telemetria-dane hydrologiczne. Współczynnik redukcji przepływu letni.;
B024B06000;Telemetria-dane hydrologiczne. Współczynnik redukcji przepływu zimowy.;
B025B06000;Telemetria-dane hydrologiczne. Przepływ skorygowany.;m3/s
B027B06000;Telemetria-dane hydrologiczne. Szerokość zwierciadła wody.;m
B028B06000;Telemetria-dane hydrologiczne. Głębokość średnia.;m
B029B06000;Telemetria-dane hydrologiczne. Głębokość maksymalna.;m
B030B06000;Telemetria-dane hydrologiczne. Prędkość średnia.;m/s
B031B06000;Telemetria-dane hydrologiczne. Prędkość maksymalna.;m/s
B032B06000;Telemetria-dane hydrologiczne. Spadek zwierciadła wody.;promil
B033B06000;Telemetria-dane hydrologiczne. Krzywa natężenia przepływu.;m3/s
B035B06000;Telemetria-dane hydrologiczne. Kod zjawiska lodowego.;0
B036B06000;Telemetria-dane hydrologiczne. Kod procentowego udziału zjawisk lodowych.;%
B037B06000;Telemetria-dane hydrologiczne. Kod zjawiska lodowego na rzece.;0
B038B06000;Telemetria-dane hydrologiczne. Kod zjawiska lodowego w profilu pomiarowym.;0
B041B06000;Telemetria-dane hydrologiczne. Powierzchnia lodu.;%
B042B06000;Telemetria-dane hydrologiczne. Kod zarastania przy pomiarach przepływu.;0
B044B06000;Telemetria-dane hydrologiczne. Powierzchnia przekroju lodu.;m2
B050A06000;Telemetria-dane hydrologiczne. Terminowa temperatura wody. Źródło danych - dowolny automat.;C
B050B06000;Telemetria-dane hydrologiczne. Terminowa temperatura wody. Źródło danych - obserwator albo ekipa serwisowa.;C
B050B060CD;Telemetria-dane hydrologiczne. Średnia dobowa temperatura wody. Źródło danych - obserwator albo ekipa serwisowa.;C
B050C06000;Telemetria-dane hydrologiczne. Terminowa temperatura wody. Źródło danych - czujnik.;C
B050C060CD;Telemetria-dane hydrologiczne. Średnia dobowa temperatura wody. Źródło danych - czujnik.;C
B060B06000;Telemetria-dane hydrologiczne. Odpływ chwilowy. Źródło danych - obserwator albo ekipa serwisowa.;m3/s
B060B060CD;Telemetria-dane hydrologiczne. Odpływ średni dobowy. Źródło danych - obserwator albo ekipa serwisowa.;m3/s
B061B06000;Telemetria-dane hydrologiczne. Dopływ chwilowy. Źródło danych - obserwator albo ekipa serwisowa.;m3/s
B061B060CD;Telemetria-dane hydrologiczne. Dopływ średni dobowy. Źródło danych - obserwator albo ekipa serwisowa.;m3/s
B062B06000;Telemetria-dane hydrologiczne. Chwilowa rzędna górna zwierciadła wody.;m n.p.m
B063B06000;Telemetria-dane hydrologiczne. Chwilowa rzędna dolna zwierciadła wody.;m n.p.m.
B064B06000;Telemetria-dane hydrologiczne. Chwilowa objętość napełnienia zbiornika.;Milion metrów sześciennych
B065B06000;Telemetria-dane hydrologiczne. Pojemność martwa zbiornika.;Milion metrów sześciennych
B066B06000;Telemetria-dane hydrologiczne. Chwilowa pojemność całkowita zbiornika.;Milion metrów sześciennych
B708C06000;Telemetria-dane hydrologiczne. Chwilowy stan wody w jeziorze. Źródło danych - czujnik.;cm
B821B06000;Telemetria-dane hydrologiczne. Chwilowe natężenie przepływu przy pomiarze hydrometrycznym.;m3/s
B990B06000;Telemetria-dane hydrologiczne. Uwaga do pomiarów hydrometrycznych nr 1.;
B990B16000;Telemetria-dane hydrologiczne. Uwaga do pomiarów hydrometrycznych nr 2.;
B990B26000;Telemetria-dane hydrologiczne. Uwaga do pomiarów hydrometrycznych nr 3.;
B990B36000;Telemetria-dane hydrologiczne. Uwaga do pomiarów hydrometrycznych nr 4.;
B990B46000;Telemetria-dane hydrologiczne. Uwaga do pomiarów hydrometrycznych nr 5.;
